[Fri Jun 20 16:14:03 UTC 2025] drefvelin entered captain seat of §l§eWooden Cart at 2010.5212374829619x, 2455.699999988079z
[Thu Jan 29 10:53:24 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 4248.7756632690935x, 1823.6098381612103z
[Fri Feb 20 19:15:34 UTC 2026] FlippityForj entered captain seat of §l§eBehemoth at 4744.6983017409875x, 992.8031598040416z
[Fri Feb 20 21:32:29 UTC 2026] drefvelin entered captain seat of §l§eBehemoth at 3066.152625141925x, 4273.935388320332z
[Fri Feb 20 21:33:16 UTC 2026] drefvelin entered captain seat of §l§eBehemoth at 3253.256591796875x, 4150.0419921875z
[Fri Feb 20 21:35:13 UTC 2026] drefvelin entered captain seat of §l§eBehemoth at 3333.1171875x, 3628.28369140625z
[Fri Feb 20 21:36:31 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 3430.666454089296x, 3320.1863586101467z
[Fri Feb 20 21:39:09 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 3907.8943377481505x, 3476.850807506903z
[Fri Mar 20 13:30:29 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 469.71558521206737x, 4216.5718855579835z
[Fri Mar 20 13:32:21 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 136.7623291015625x, 5900.7587890625z
[Fri Mar 20 13:36:22 UTC 2026] drefvelin entered captain seat of §l§eIronclad at 1101.9712501011131x, 3475.6115894289856z
[Fri Mar 20 13:37:10 UTC 2026] drefvelin entered captain seat of §l§eIronclad at 919.9694213867188x, 3523.25537109375z
[Fri Mar 20 13:37:31 UTC 2026] drefvelin entered captain seat of §l§eIronclad at 798.5372924804688x, 3500.381103515625z
[Fri Mar 20 13:38:50 UTC 2026] drefvelin entered captain seat of §l§eIronclad at 579.4456176757812x, 3892.395263671875z
[Fri Mar 20 13:44:33 UTC 2026] drefvelin entered captain seat of §l§eIronclad at 3120.578449651156x, 2155.4655454247118z
[Sat Mar 21 11:31:58 UTC 2026] drefvelin entered captain seat of §l§eIronclad at 2437.4387003167703x, 2418.213557242532z
[Sat Mar 21 11:35:03 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 473.88462679190434x, 4215.209464399298z
[Mon Mar 23 12:55:30 UTC 2026] drefvelin entered captain seat of §l§eGunboat at 1637.4850799775304x, 3610.6108196777977z
[Mon Mar 23 12:55:53 UTC 2026] drefvelin entered captain seat of §l§eGunboat at 1670.1165771484375x, 3521.181884765625z
[Mon Mar 23 12:56:36 UTC 2026] drefvelin entered captain seat of §l§eGunboat at 1641.573974609375x, 3348.394287109375z
[Mon Mar 23 12:57:18 UTC 2026] drefvelin entered captain seat of §l§eGunboat at 1646.7535883601072x, 3359.5655788830945z
[Mon Mar 23 12:58:53 UTC 2026] drefvelin entered captain seat of §l§eGunboat at 1643.1911544573024x, 3361.807334293422z
[Mon Mar 23 13:00:20 UTC 2026] drefvelin entered captain seat of §l§eGunboat at 1168.0123069126162x, 3431.5926056773974z
[Mon Mar 23 19:24:53 UTC 2026] drefvelin entered captain seat of §l§eFixed Artillery at 1134.7307158837277x, 3692.8214792972954z
[Mon Mar 23 19:27:47 UTC 2026] drefvelin entered captain seat of §l§eFixed Artillery at 1134.2882566882292x, 3693.3642389707484z
[Thu Mar 26 09:46:18 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 1250.6258237003194x, 3557.257691574206z
[Thu Mar 26 09:46:21 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 1250.441162109375x, 3557.380126953125z
[Sat Mar 28 13:57:50 UTC 2026] drefvelin entered captain seat of §l§eField Artillery at 1395.176462409408x, 3478.5015409728453z
[Sat Mar 28 13:58:06 UTC 2026] drefvelin entered captain seat of §l§eField Artillery at 1394.8093170117806x, 3481.0426065326556z
[Sat Mar 28 13:59:44 UTC 2026] drefvelin entered captain seat of §l§eField Artillery at 1394.3604413058802x, 3478.728050525749z
[Sat Mar 28 14:02:06 UTC 2026] drefvelin entered captain seat of §l§eField Artillery at 1393.9563764679747x, 3479.100914740807z
[Sat Mar 28 14:05:40 UTC 2026] drefvelin entered captain seat of §l§eField Artillery at 1394.3265494814718x, 3479.184947572992z
[Tue Jun 09 13:46:18 UTC 2026] drefvelin entered captain seat of §l§eFixed Artillery at 4129.863086280683x, 2000.9038493011624z
[Tue Jun 09 13:48:21 UTC 2026] drefvelin entered captain seat of §l§eField Artillery at 4082.6693575275176x, 2013.3888108844176z
[Tue Jun 09 13:48:58 UTC 2026] drefvelin entered captain seat of §l§eHorse Cart at 4082.7988400519685x, 2009.5898835620553z
[Tue Jun 09 13:51:23 UTC 2026] drefvelin entered captain seat of §l§eSloop at 3079.108154296875x, 2980.280517578125z
[Tue Jun 09 13:53:37 UTC 2026] drefvelin entered captain seat of §l§eIronclad at 3033.739266299176x, 3061.1500907613317z
[Tue Jun 09 13:55:09 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 472.91662539036474x, 4216.44109435106z
[Tue Jun 09 13:57:02 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 473.25579833984375x, 4216.66748046875z
[Tue Jun 09 13:58:08 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 473.3970908160644x, 4218.8148210756435z
[Tue Jun 09 13:59:36 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 847.5486450195312x, 3782.380615234375z
[Tue Jun 09 13:59:50 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 1009.5181274414062x, 3873.655029296875z
[Tue Jun 09 14:00:28 UTC 2026] drefvelin entered captain seat of §l§eCloudskimmer at 1329.8839730686002x, 4171.832105252689z
[Tue Jun 09 14:01:01 UTC 2026] drefvelin entered captain seat of §l§eCloudskimmer at 1437.8826904296875x, 4235.02099609375z
[Tue Jun 09 14:01:10 UTC 2026] drefvelin entered captain seat of §l§eCloudskimmer at 1481.4779052734375x, 4233.8369140625z
[Tue Jun 09 14:02:13 UTC 2026] drefvelin entered captain seat of §l§eBehemoth at 1454.8331531004153x, 4196.532015316948z
[Tue Jun 09 14:04:10 UTC 2026] drefvelin entered captain seat of §l§eGyrobomber at 1635.55419921875x, 4214.28857421875z
[Mon Aug 17 05:46:51 UTC 2026] ShayminPlays entered captain seat of §l§eSloop at 2094.030579466728x, 2590.3356670243174z
[Mon Aug 17 05:48:34 UTC 2026] ShayminPlays entered captain seat of §l§eSloop at 1951.954345703125x, 2739.775634765625z
[Mon Aug 17 05:52:14 UTC 2026] ShayminPlays entered captain seat of §l§eSloop at 1796.6251220703125x, 4149.95947265625z
[Mon Aug 17 05:53:05 UTC 2026] ShayminPlays entered captain seat of §l§eSloop at 1752.2059326171875x, 4248.94775390625z
[Mon Aug 17 05:55:34 UTC 2026] ShayminPlays entered captain seat of §l§eSloop at 1777.0389404296875x, 4164.73974609375z
[Wed Aug 26 13:47:27 UTC 2026] drefvelin entered captain seat of §l§eMonoplane at 3719.6606037079787x, 3008.978874359962z
[Wed Aug 26 13:49:31 UTC 2026] drefvelin entered captain seat of §l§eMonoplane at 3718.4665525225155x, 3008.2136115738704z
[Wed Aug 26 16:42:07 UTC 2026] drefvelin entered captain seat of §l§eMonoplane at 3720.0536287684918x, 2999.6088128885162z
[Wed Aug 26 16:45:04 UTC 2026] drefvelin entered captain seat of §l§eMonoplane at 3716.2987264776352x, 3014.701512853318z
[Wed Aug 26 17:59:06 UTC 2026] drefvelin entered captain seat of §l§eMonoplane at 3717.82509719613x, 3007.138660022222z
[Wed Aug 26 18:00:32 UTC 2026] drefvelin entered captain seat of §l§eMonoplane at 3688.0517578125x, 2780.449951171875z
[Wed Aug 26 20:21:26 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 3717.055879336135x, 3003.261775779333z
[Thu Aug 27 09:15:45 UTC 2026] drefvelin entered captain seat of §l§eBiplane at 3721.75958962514x, 3016.0093299294035z
[Thu Aug 27 09:29:01 UTC 2026] drefvelin entered captain seat of §l§eHorse Cart at 3717.8039437051402x, 2996.7001155497164z
[Thu Aug 27 09:30:31 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4062.9686869927796x, 2053.2890847940216z
[Thu Aug 27 10:54:52 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 3719.334775361077x, 2994.302014316994z
[Thu Aug 27 11:49:19 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4436.314832445198x, 2144.7609916676397z
[Thu Aug 27 12:30:40 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4238.154804339796x, 1560.8048670638877z
[Thu Aug 27 12:39:36 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4460.036132751055x, 1953.003467554459z
[Thu Aug 27 12:52:13 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4197.864592995905x, 1537.4574199149101z
[Thu Aug 27 13:00:48 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4270.969096707416x, 1577.714531948439z
[Thu Aug 27 13:13:31 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 3967.197454624896x, 1792.9479246207848z
[Thu Aug 27 13:20:23 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4288.53223188207x, 2144.992764370497z
[Thu Aug 27 16:00:03 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4301.478225279618x, 2198.157856495291z
[Thu Aug 27 16:03:58 UTC 2026] Najroy entered captain seat of §l§eSmall Car at 4102.220053484414x, 1958.536394777912z
[Thu Aug 27 16:04:49 UTC 2026] Najroy entered captain seat of §l§eSmall Car at 4094.933010242203x, 1959.2976208062403z
[Thu Aug 27 16:25:47 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4150.210825619532x, 1919.8303847464838z
[Thu Aug 27 16:29:53 UTC 2026] drefvelin entered captain seat of §l§eHorse Cart at 4686.575659617402x, 2223.2991308316805z
[Thu Aug 27 16:32:37 UTC 2026] drefvelin entered captain seat of §l§eHorse Cart at 4345.198850320354x, 2075.8869014179804z
[Thu Aug 27 16:32:43 UTC 2026] drefvelin entered captain seat of §l§eHorse Cart at 4347.536678507172x, 2075.800159631718z
[Thu Aug 27 16:33:09 UTC 2026] drefvelin entered captain seat of §l§eHorse Cart at 4301.330147954469x, 2002.1226967918751z
[Thu Aug 27 16:34:36 UTC 2026] drefvelin entered captain seat of §l§eHorse Cart at 3976.5228963987315x, 2061.7469928223986z
[Thu Aug 27 16:36:50 UTC 2026] drefvelin entered captain seat of §l§eHorse Cart at 3968.543461685645x, 2102.5212863602874z
[Thu Aug 27 16:59:52 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 3977.442460125867x, 1619.4593857189175z
[Thu Aug 27 17:26:24 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4009.0782514866796x, 1651.7720192184427z
[Thu Aug 27 17:26:42 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4012.5238805822523x, 1674.5714025903185z
[Thu Aug 27 17:56:12 UTC 2026] drefvelin entered captain seat of §l§eSmall Car at 4067.5114618284665x, 2040.5162434264962z
